Type,Code,Country,2020,2019,2018,2017,2016,2015,2014,2013
BEV,AT,Austria,15986,9261,6764,5433,3826,1677,1281,654
BEV,BE,Belgium,14994,8837,3648,2709,2054,1358,1164,500
BEV,BG,Bulgaria,,181,194,68,5,21,2,1
BEV,CZ,Czech Republic,3262,756,703,307,200,298,197,37
BEV,DK,Denmark,14284,5532,1745,698,1312,4604,1612,650
BEV,EE,Estonia,360,80,85,26,35,34,398,149
BEV,FI,Finland,4244,1897,776,502,223,243,183,50
BEV,FR,France,111127,42827,31095,24910,21752,17268,10561,8779
BEV,DE,Germany,194474,63491,36216,25056,11410,12363,8522,6051
BEV,GR,Greece,679,190,88,38,12,35,0,0
BEV,HU,Hungary,3046,1833,1300,749,172,115,32,10
BEV,IE,Ireland,4013,3444,1233,622,392,466,221,49
BEV,IT,Italy,32487,10663,4999,1967,1377,1452,1098,864
BEV,LV,Latvia,301,88,73,39,22,17,176,4
BEV,LT,Lithuania,453,162,143,52,64,37,,
BEV,NL,Netherlands,73204,62056,23998,9897,4268,4148,2982,2619
BEV,PL,Poland,3683,1490,620,439,108,70,81,31
BEV,PT,Portugal,7830,6883,4073,1640,756,645,189,166
BEV,RO,Romania,2837,1506,605,188,74,24,7,4
BEV,SK,Slovakia,918,165,293,209,59,52,58,6
BEV,SI,Slovenia,1647,515,467,288,144,,,
BEV,ES,Spain,17927,10044,5983,3920,2005,1342,1076,811
BEV,SE,Sweden,27968,15596,7083,4217,2945,2962,1239,432
BEV,GB,United Kingdom,108205,37850,15510,13597,10264,9934,7416,2719
BEV,EU,European Union,646977,285347,147694,97571,63479,59165,38495,24586
BEV,IS,Iceland,2357,914,687,,,,,
BEV,NO,Norway,76804,60345,46143,33025,24222,25779,18090,7882
BEV,CH,Switzerland,19546,13190,5138,4773,3295,3257,1659,1156
PHEV,AT,Austria,7632,2156,2258,1721,1237,1101,2360,2573
PHEV,BE,Belgium,31343,8924,9595,11287,6671,2477,868,319
PHEV,BG,Bulgaria,,56,26,38,8,0,0,0
PHEV,CZ,Czech Republic,1981,473,278,,,,386,438
PHEV,DK,Denmark,18249,3882,3171,614,572,502,0,0
PHEV,EE,Estonia,65,17,33,17,0,0,4,1
PHEV,FI,Finland,13231,5966,4932,2533,1207,415,257,168
PHEV,FR,France,74592,18592,14528,11868,7429,5589,1927,843
PHEV,DE,Germany,200469,45348,31442,29439,13751,11118,4596,1655
PHEV,GR,Greece,1456,289,211,161,31,32,64,4
PHEV,HU,Hungary,2996,1106,770,443,171,15,11,6
PHEV,IE,Ireland,2492,1346,739,326,298,117,35,1
PHEV,IT,Italy,27407,6471,4749,2646,1307,739,375,310
PHEV,LV,Latvia,90,14,17,17,18,9,215,9
PHEV,LT,Lithuania,,,,,,,,
PHEV,NL,Netherlands,15925,4901,3189,1158,18628,39763,9938,19876
PHEV,PL,Poland,4416,1200,759,585,404,221,3887,1869
PHEV,PT,Portugal,11867,5798,3776,2416,1048,483,100,55
PHEV,RO,Romania,,,,,,,,
PHEV,SK,Slovakia,566,202,0,,,0,111,130
PHEV,SI,Slovenia,39,136,193,165,46,,,
PHEV,ES,Spain,23306,7432,5831,3370,1511,785,329,72
PHEV,SE,Sweden,66109,24810,21896,15447,10296,5700,3428,1115
PHEV,GB,United Kingdom,66877,34984,44437,31154,24899,17054,7945,1114
PHEV,EU,European Union,573936,174103,152830,115405,89532,86120,36836,30558
PHEV,IS,Iceland,1859,1171,1896,,,,,
PHEV,NO,Norway,28905,19295,26546,25165,15517,7947,1677,328
PHEV,CH,Switzerland,14429,4284,4359,3404,2829,2369,1034,561
